VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,TotalFreight,GrossProfit,ProfitMargin,StockTurnOver,SalestoPurchaseRatio
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,1750.0,16.99,101480,1193404.8,98938.0,1624366.6199999999,181782.13,123880.97,125298.71999999986,7.713697047037316,0.9749507292077256,1.3611195631189013
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,1750.0,16.99,97473,1190145.33,94960.0,1554498.4,174471.93,123880.97,66000.16999999984,4.245753485497305,0.9742185015337581,1.3061416625480518
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,1750.0,25.99,59088,1163442.72,58610.0,1549701.9,107685.03,38994.78,239579.3699999999,15.459706799094711,0.9919103709721094,1.331996731218534
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,1750.0,19.99,76389,1106876.61,77041.0,1657809.59,141551.61,89286.27,320095.1,19.30831513648078,1.0085352603123487,1.4977365814966492
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,750.0,39.99,40380,1098336.0,38506.0,1584665.41,4316.36,48347.26,433665.7899999999,27.36639465109546,0.9535908865775137,1.442787462124523
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,750.0,19.99,72952,1073853.44,73122.0,1456174.78,57570.69,257032.07,67718.58000000007,4.650443128811781,1.0023302993749315,1.3560274854639383
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,1750.0,18.99,77066,1034996.38,74722.0,1408627.78,137288.58,38994.78,197348.04,14.009949455916596,0.9695845119767472,1.3609977843594003
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,1750.0,19.99,65382,1029112.6799999999,64388.0,1327401.1199999999,118298.37,20964.81,159025.25999999995,11.980196310215556,0.9847970389403812,1.289850126032846
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,750.0,52.99,29829,1014484.29,29498.0,1533634.52,3314.23,48347.26,467488.74,30.482408546724677,0.9889034161386571,1.5117380674273428
17035,PERNOD RICARD USA,3423,Beefeater,21.25,1750.0,26.99,46163,980963.75,44762.0,1177834.38,82244.16,123780.22,-9153.750000000116,-0.7771678391659885,0.9696510192145225,1.2006910347094883
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,750.0,13.99,87954,976289.4,84289.0,1174428.36,66360.95,50293.62,81484.39000000009,6.938217159537946,0.9583304909384451,1.2029510511944512
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,1750.0,21.99,61639,975128.98,60102.0,1293182.98,110429.45,123780.22,83844.33,6.483562751498632,0.9750644883920895,1.3261660831780429
